8140	22	-24	15	65	3	30	11	10	6	10	11	50	-1	25	46	54	22	41	16	3	0	80
8141	36	48	25	-7	2	14	10	20	2	24	8	63	-6	32	72	48	71	13	11	2	0	81
8142	30	11	9	-9	3	48	14	10	12	10	15	12	0	49	43	30	35	37	25	3	0	82
8143	35	36	12	-53	1	2	12	11	3	10	5	31	3	9	63	59	35	58	22	1	0	83
8145	33	20	14	-9	2	18	13	11	3	10	11	8	0	55	61	61	65	67	2	3	0	84
8148	58	10	49	-32	2	37	12	13	3	11	5	22	0	28	22	44	47	66	41	3	0	85
8150	37	8	18	-27	3	44	18	19	19	12	8	19	-1	41	28	17	3	23	33	2	0	86
8152	30	-52	24	48	3	12	12	11	2	10	15	31	8	15	53	44	50	59	14	1	0	87
8154	24	-7	32	64	1	13	11	10	2	11	9	38	1	76	71	47	73	46	5	1	0	88
8022	34	15	28	-1	2	6	14	11	3	10	9	55	-2	71	41	70	55	70	11	2	1	89
8036	54	5	27	-36	2	38	12	18	3	15	7	20	-3	26	50	48	50	54	47	2	1	90
8048	24	-24	19	15	3	3	10	12	5	10	3	5	3	2	44	8	61	24	5	1	1	91
8078	36	18	20	-13	5	34	17	21	6	11	6	53	-2	75	8	2	37	35	28	4	1	92
8101	57	10	32	-4	3	7	13	15	13	12	12	26	1	7	51	55	51	49	3	2	1	93
8107	56	-69	16	75	2	24	16	16	14	15	11	41	3	37	54	49	27	39	17	1	1	94
8128	27	-9	31	27	3	20	11	10	2	10	9	27	0	48	75	65	75	65	10	2	1	95
8129	21	54	40	-52	5	9	19	22	23	24	10	34	0	5	.	.	.	.	44	2	1	96
8147	20	5	22	0	3	10	10	10	2	10	7	32	0	47	74	25	74	22	15	2	1	97
8149	30	80	12	-30	2	16	12	11	.	10	1	29	0	44	71	63	.	55	16	1	1	98
8153	29	51	33	-18	2	51	13	10	12	14	4	17	0	29	21	1	.	.	46	2	1	99
